Numéro notice,Titre,Mentions de responsabilité,Titre propre de la collection,Éditeur,Date,DateDébut,DateFin,Date d'autorisation,Édition,Format,ISBN/ISSN,Notes,Langue,Lieu,Cycle,Niveau,Discipline
00004203,The Oxford Course in Canadian History: The Canadian Adventure:  book 1,,,The Makers of Canada Ltd.,[1928?],1928-01-01,1928-12-31,,,"16 cm: 53 p., ill.",,,Anglais,"Toronto, ON",,,
00004204,The Oxford Course in Canadian History: Exploration: book 2,,,The Makers of Canada Ltd.,[1928?],1928-01-01,1928-12-31,,,"16 cm: 48 p., ill.",,,Anglais,"Toronto, ON",,,
00004205,The Oxford Course in Canadian History: Settlement and Social Progress: book 3,,,The Makers of Canada Ltd.,[1928?],1928-01-01,1928-12-31,,,"16 cm: 39 p., ill.",,,Anglais,"Toronto, ON",,,
00004206,The Oxford Course in Canadian History: Transportation: book 4,,,The Makers of Canada Ltd.,[1928?],1928-01-01,1928-12-31,,,"16 cm: 27 p., ill.",,,Anglais,"Toronto, ON",,,
00004207,The Oxford Course in Canadian History: Political Development to 1849: book 5,,,The Makers of Canada Ltd.,[1928?],1928-01-01,1928-12-31,,,"16 cm: 34 p., ill.",,Comprend une bibliogr.,Anglais,"Toronto, ON",,,
00004208,The Oxford Course in Canadian History: Confederation: book 6,,,The Makers of Canada Ltd.,[1928?],1928-01-01,1928-12-31,,,"16 cm: 36 p., ill.",,,Anglais,"Toronto, ON",,,
00004209,The Oxford Course in Canadian History: New France:  book 7,,,The Makers of Canada Ltd.,[1928?],1928-01-01,1928-12-31,,,"16 cm: 37 p., ill.",,Le t. de la couv. : The Oxford Course in Canadian History: New France & Old Quebec,Anglais,"Toronto, ON",,,
00004210,The Oxford Course in Canadian History: The Maritime Provinces: book 8,,,The Makers of Canada Ltd.,[1928?],1928-01-01,1928-12-31,,,"16 cm: 35 p., ill.",,,Anglais,"Toronto, ON",,,
00004211,The Oxford Course in Canadian History: Ontario: book 9,,,The Makers of Canada Ltd.,[1928?],1928-01-01,1928-12-31,,,"16 cm: 33 p., ill.",,,Anglais,"Toronto, ON",,,
00004212,The Oxford Course in Canadian History: The Prairie Provinces & Pacific Slope: book 10,,,The Makers of Canada Ltd.,[1928?],1928-01-01,1928-12-31,,,"16 cm: 31 p., ill.",,,Anglais,"Toronto, ON",,,
00004213,The Oxford Course in Canadian History: The New Day: book 11,,,The Makers of Canada Ltd.,[1928?],1928-01-01,1928-12-31,,,"16 cm: 30 p., ill.",,,Anglais,"Toronto, ON",,,
00004214,Geography,,Ontario Teachers' Manuals,The Ryerson Press,1934,1934-01-01,1934-12-31,,,20 cm: 228 p.,,"La p. t. porte en outre : ""Authorized by the Minister of Education"". -- Comprend un index",Anglais,"Toronto, ON",Primaire,Primaire,
00004215,Canada : atlas descriptif,,,s.n.,[19--?],1899-12-31,1999-12-31,,,"28 cm: 64 p., ill. et cartes (en coul.)",,,Français,Canada,,,
00004216,Classical Civilization: Rome,"NEWELL COUCH, Herbert|GEER, Russel M.",,Prentice-Hall Inc.,1952,1952-01-01,1952-12-31,,Second Ed.,"23 cm: 482 p., ill. et cartes",,"Comprend un index, une table de référence et des bibliogr.",Anglais,"New York, NY",,,
00004217,Compléments d'algèbre,Les Frères des écoles chrétiennes,,Imprimerie De-La-Salle,1934,1934-01-01,1934-12-31,,,"22 cm: 311 p., graph.",,Comprend une table analytique,Français,"Montréal, QC",,,
00004218,Les Transformations brusques des êtres vivants : avec 49 figures dans le texte,"BLARINGHEM, L.",Bibliothèque de philosophie scientifique,Ernest Flammarion,1911,1911-01-01,1911-12-31,,,"18 cm: 353, 8 p., ill.",,Comprend un index et des notes en bas de page,Français,"Paris, FR",,,
00004219,Learning to Write,"SMITH, Reed",,MacMillan and Co. of Canada Ltd.,[1939?],1939-01-01,1939-12-31,,Canadian Ed. completely rev. and reset,21 cm: 511 p.,,"La p. t. porte en outre : ""Authorized in the Provinces of Manitoba, Ontario and Saskatchewan"". -- Comprend un index",Anglais,"Toronto, ON",,,
00004220,My Spelling: grade eight,"YOAKAM, Gerald A.|DAW, Seward E.|CHAPMAN, Frederick",,Ginn and Company,[19--?],1899-12-31,1999-12-31,,,"20 cm: 127 p., ill. (certaines en coul.)",,Comprend un glossaire,Anglais,"Toronto, ON",Intermédiaire,8e année,
00004221,Premier livre de lecture : première partie,,Ontario French Readers,The T. Eaton Co. Ltd.,1949,1949-01-01,1949-12-31,,,"19 cm: 103 p., ill. (certaines en coul.)",,"La p. t. porte en outre : ""Authorized by the Minister of Education""",Français,"Toronto, ON",Primaire,"Primaire, 1er cycle",
00004222,Programme of Studies for Grades 1 to 6 of the Public and Separate Schools,,,s.n.,1955,1955-01-01,1955-12-31,,,19 cm: 126 p.,,"La p. t. porte en outre : ""A reprint of the 1941 edition with minor revisions"" et ""Issued by Authority of the Minister of Education""",Anglais,Ontario,,,
00004223,Programme for Junior and Senior Kindergarten and Kindergarten Primary Classes of the Public and Separate Schools,,,s.n.,1944,1944-01-01,1944-12-31,,,19 cm: 83 p.,,"La p. t. porte en outre : ""Issued by authority of the Minisster of Education""",Anglais,Ontario,,,
00004224,Ontario Public School: Spelling Book,,,The Ryerson Press,1935,1935-01-01,1935-12-31,,,20 cm: 186 p.,,"La p. t. porte en outre : ""Authorized by the Minister of Education""",Anglais,"Toronto, ON",Primaire,Primaire,
00004225,La Littérature au brevet élémentaire,,,Congrégation de Notre-Dame,1925,1925-01-01,1925-12-31,,,23 cm: 181 p.,,Le t. de la couv. : La Littérature au brevet élémentaire : examens de 1925-1926,Français,"Montréal, QC",Primaire,Primaire,
00004226,First Spanish Grammar,"OLMSTED, Everett W.|GRISMER, Raymond L.",,MacMillan and Co. Ltd.,1941,1941-01-01,1941-12-31,,,"20 cm: xv, 352 p., ill. et cartes (en coul.)",,"Comprend un index, des appendices, un glossaire et une liste des illustrations",Anglais|Espagnol,"New York, NY",,,
00004227,Libro Espanol,"BERLITZ, M. D.",,Berlitz Publications,1951,1951-01-01,1951-12-31,,Nueva Edicion revisada Y aumentada,"19 cm: 255 p., ill.",,Comprend des notes en bas de page,Espagnol,"New York, NY",,,
00004228,Initiation à l'espagnol,"MADRIGAL, Margarita|MADRIGAL, Ezequias",,Éditions de l'arbre,1946,1946-01-01,1946-12-31,,,"20 cm: 199 p., ill.",,Comprend un lexique espanol-français,Espagnol,"Montréal, QC",Système français,Débutant,
00004229,Curso practico de espanol,"CHERUBINI, G.|CONDON, Vesta|FIELDEN BRIGGS, S.",The Winston Modern Language Series,Beauchemin,1944,1944-01-01,1944-12-31,,,"20 cm: xv, 364 p.",,"Comprend un index, un appendice et un lexique espagnol-français et un français-espagnol",Espagnol,"Montréal, QC",Système français,Débutant,
