Numéro notice,Titre,Mentions de responsabilité,Titre propre de la collection,Éditeur,Date,DateDébut,DateFin,Date d'autorisation,Édition,Format,ISBN/ISSN,Notes,Langue,Lieu,Cycle,Niveau,Discipline
00000701,Quand souffle l'esprit 5 : cathéchisme des enfants de 10 ans : fiche de l'élève,"BÉRUBÉ, Jean-Paul|HOUDE, Nicole|PLOURDE-TARDIF, Lucille|BEAUCHAMP, André|PEYSKENS, Pierre",,Fides,[1975?],1975-01-01,1975-12-31,,,"22 cm: 127 p., ill. et cartes (certaines en coul.)",,Pages non reliées. -- Pages présentées dans une boîte,Français,"Montréal, QC",,,
00000702,Histoire de l'Église : cours supérieur,"BOULANGER, A.",,Librairie catholique Emmanuel Vitte,1937,1937-01-01,1937-12-31,,"5e éd., soigneusement revue et corrigée","19 cm: 655 p., ill.",,"Comprend un appendice, un tableau et un index à la fin de l'ouvrage",Français,"Lyon, FR",Système français,Supérieur (France),Enseignement religieux|Histoire
00000703,Catéchisme biblique 2 : les signes de l'appel : l'Église et les Sacrements,"BURKART, A.",,Fides,1965,1965-01-01,1965-12-31,,,"19 cm: P. 115-274, ill.",,,Français,"Montréal, QC",,,
00000704,Étape six,,,s.n.,[19--?],1899-12-31,1999-12-31,,,21 cm: 30 p.,,,Français,,,,
00000705,Conditions d'une école chrétienne,"FOURNEAU, L.|DÉVAUD, E.",,La Procure,1939,1939-01-01,1939-12-31,,,20 cm: 198 p.,,,Français,"Namur, BE",Primaire,Primaire,
00000706,Nous avons vu le Seigneur : cathéchisme des enfants de 9 ans : livre de l'enfant,"GENDRON, Serge|LIPPÉ, Pierre|ST-PIERRE, Denise|DUMAS, Antoine|PENSKINS, Pierre",,Librairie Beauchemin limitée,[1973?],1973-01-01,1973-12-31,,,"22 cm: 128 p., ill. (certaines en coul.)",,,Français,"Montréal, QC",Primaire,9 ans,
00000707,Catéchèse de deuxième année : document d'accompagnement pour les parents et les pasteurs,"LAMARCHE, Denise|HUBERT, Bernard",,Fides,[1978?],1978-01-01,1978-12-31,,,"19 cm: 174 p., quelques ill.",ISBN 0-7755-0707-5,,Français,"Montréal, QC",Primaire,2e année,
00000708,L'Éducation,Moines de Solesmes|Monseigneur Bornet,Les Enseignements pontificaux,Desclée & Cie,1955,1955-01-01,1955-12-31,,,"18 cm: ix, 510, 69 p.",,Comprend des tables et un index à la fin de l'ouvrage,Français,,,,
00000709,Célébrons ses merveilles : initiation chrétienne des enfants de 7-8 ans : livre de l'enfant,"Office catéchistique provincial|COURTEMANCHE-AUCLAIR, Jeanne",,Pédagogia inc.,[1965?],1965-01-01,1965-12-31,,,"23 cm: 139 p., ill. en coul.",,,Français,Québec,Primaire,7 et 8 ans,
00000710,Prions le Seigneur,"Office provincial de l'éducation chrétienne de l'Ontario (OPECO)|DESPATIE, Roger",,Office provincial de l'éducation chrétienne de l'Ontario; Novalis,1978,1978-01-01,1978-12-31,,,"22 cm: 95 p., ill.",ISBN 0-88587-021-2,,Français,"Ottawa, ON",,,
00000711,Révisions de fin d'année,,,s.n.,[19--?],1899-12-31,1999-12-31,,,21 cm: 10 p.,,,Français,,,,
00000712,Selon ta promesse fais-moi vivre : cathéchisme de enfants de 11-12 ans : livre de l'enfant,"TEMBLAY, Paul|BEAULIEU, Alberte|MCGRORY, Barry",,Éditions de l'Iris,[1969?],1969-01-01,1969-12-31,,,"22 cm: 144 p., ill. (certaines en coul.)",,,Français,"Montréal, QC",Intermédiaire,11 et 12 ans,
00000713,L'Évangile de Jésus-Christ,"AMIOT, François",,Éditions Paulines,1975,1975-01-01,1975-12-31,,Nouv. éd.,14 cm: 406 p.,,Comprend un index au début de l'ouvrage. -- ISBN 0-88940-506-5,Français,"Montréal, QC",,,
00000714,Rassemblés dans l'amour : catéchisme des enfants de 8-9 ans : guide du maître 3,"BÉRUBÉ, Jean-Paul|DARCY-BÉRUBÉ, Françoise|DUBEAU-LEGENTIL, Renée|SABOURIN, Lucie",,Éditions de l'action,1972,1972-01-01,1972-12-31,,,22 cm: 5 cahiers (358 p. en pag. multiples),,"Dépouillement : Rassemblés dans l'amour : catéchisme des enfants de 8-9 ans : guide du maître 3. -- Deuxième étape : Dieu notre père veut nous rassembler dans une seule famille. -- Quatrième étape : l'Église annonce au monde la joie de la Résurrection. -- Trois thèmes mobiles : Marie est notre mère, Le chrétien devant la souffrance et la mort, Le sacrement du pardon. -- Chants : exercices de maîtrise et d'expression corporelles",Français,Québec,Primaire,3e année,
00000715,Catéchisme biblique 3 : ma réponse : la morale,"BURKART, A.",,Fides,1961,1961-01-01,1961-12-31,,,"18 cm: P. 275-396, ill.",,,Français,"Montréal, QC",,,
00000716,Rassemblés dans l'amour : initiation chrétienne des enfants de 8 à 9 ans : guide du maître,,,Action sociale ltée.,[1966?],1966-01-01,1966-12-31,,,"22 cm: 28 cahiers (env. 370 p. en pag. multiples), ill. et cartes",,Comprend des partitions,Français,Québec,Primaire,3e année,
00000717,La Sainte Bible,École biblique de Jérusalem,,Éditions du Cerf,1961,1961-01-01,1961-12-31,,,"22 cm: xv, 1669 p.",,"Comprend un tableau, des tables, des cartes et des plans à la fin de l'ouvrage",Français,"Paris, FR",,,
00000718,Recueil de cantiques,"LATOUR, Conrad",,s.n.,[1932?],1932-01-01,1932-12-31,,,"18 cm: xviii, 323 p.",,Comprend des partitions,Français,"Ottawa, ON",Universitaire et Collégial,Universités; collège; couvents; séminaires; juniorat; noviciats; scolasticat,Enseignement religieux|Musique
00000719,La Célébration des sacrements,"LECLERC, Georges",,Fides,[1965?],1965-01-01,1965-12-31,,,19 cm: 213 p.,,Comprend des bibliogr. à la fin des chapitres,Français,"Montréal, QC",,,
00000720,"Actes des apôtres, épitres, apocalypses","LEPIN, M.",,Dumas,1948,1948-01-01,1948-12-31,,,18 cm: 444 p.,,"Sur la p. de t. : trad. sur le grec, avec introductions, divisions logiques, annotations, et recueil méthodique de tous les textes importants",Français,"Paris, FR",,,
00000721,La Bible en images : histoire sainte illustrée,"LAWRENCE, R. P.|LOVASIK, G.|BOURQUE, Marie-Jeanne",,Catholic Book Publishing Company,[1962?],1962-01-01,1962-12-31,,,"23 cm: 116 p., ill. en coul.",,,Français,"Montréal, QC",,,
00000722,"Célébrons ses merveilles : initiation chrétienne des enfants de 7-8 ans, deuxième année : livre de l'enfant","Office catéchistique provincial|COURTEMANCHE-AUCLAIR, Jeanne",,Pedagogia inc.,[1965?],1965-01-01,1965-12-31,,,"23 cm: 139 p., ill. en coul.",,,Français,Québec,Primaire,2e année,
00000723,Viens vers le Père : initiation chrétienne des enfants de 6-7 ans : livre de l'enfant,"Office cathéchisme provincial|COURTEMANCHE-AUCLAIR, Jeanne",,Fides,[1964?],1964-01-01,1964-12-31,,,"23 cm: 127 p., ill. en coul.",,,Français,"Montréal, QC",Primaire,Maternelle,
00000724,La Bonne Nouvelle par un homme appelé Jean,"VALLOTON, Annie",,Canadian Bible Society,[1972?],1972-01-01,1972-12-31,,1re éd.,"18 cm: 63 p., ill. et une carte",,Sur la couv. : Pourquoi ne me croyez vous pas ?. -- Sur la p. de t. : trad. en français courant d'après le texte grec. -- Comprend un glossaire à la fin de l'ouvrage,Français,"Toronto, ON",,,
00000725,La Bonne Nouvelle par un homme appelé Luc,"VALLOTON, Annie",,Canadian Bible Society,[1972?],1972-01-01,1972-12-31,,1er éd.,"18 cm: 87 p., ill. et une carte",,Sur la couv. : Pourquoi êtes vous troublés ?. -- Sur la p. de t. : trad. en français courant d'après le texte grec. -- Comprend un glossaire à la fin de l'ouvrage,Français,"Toronto, ON",,,
00000726,La Bonne Nouvelle par un homme appelé Marc,"VALLOTON, Annie",,Canadian Bible Society,[1972?],1972-01-01,1972-12-31,,1re éd.,"18 cm: 57 p., ill. et une carte",,Sur la couv. : Pourquoi avez vous peur ?. -- Sur la p. de t. : trad. en français courant d'après le texte grec. -- Comprend un glossaire à la fin de l'ouvrage,Français,"Toronto, ON",,,
00000727,La Bonne Nouvelle par un homme appelé Matthieu,"VALLOTON, Annie",,Canadian Bible Society,[1972?],1972-01-01,1972-12-31,,1re éd.,"18 cm: 82 p., ill. et une carte",,Sur la couv. : Pourquoi désobéissez vous  ?. -- Sur la p. de t. : trad. en français courant d'après le texte grec. -- Comprend un glossaire à la fin de l'ouvrage,Français,"Toronto, ON",,,
00000728,Le nouveau testament,Société catholique de la Bible|Association catholique des études bibliques au Canada,,Fides,1959,1959-01-01,1959-12-31,,3e éd.,"17 cm: 719 p., cartes",,"Sur la couv. : 1,440 mille. -- Comprend des tables à la fin de l'ouvrage",Français,"Montréal, QC",,,
00000729,"Les Tout-Petits dans le royaume : livre de l'éducateur, tome I",Soeurs de l'Assomption de la Sainte-Vierge de Nicolet,,Éditions du bien public,1953,1953-01-01,1953-12-31,1952-09-24,,"21 cm: 370 p., quelques ill.",,Sur la p. de t. : expériences catéchistiques en première et deuxième année. -- Comprend quelques partitions. -- Comprend des suppléments à la fin de l'ouvrage,Français,"Trois-Rivières, QC",Primaire,1ère et 2e année,
00000730,"Les Tout-Petits dans le royaume : livre de l'éducateur, tome II",Soeurs de l'Assomption de la Sainte-Vierge de Nicolet,,Éditions du bien public,1953,1953-01-01,1953-12-31,,,"21 cm: 395 p., quelques ill.",,Sur la p. de t. : expériences catéchistiques en première et deuxième année,Français,"Trois-Rivières, QC",Primaire,1ère et 2e année,
00000731,"Catéchisme catholique populaire : allez, enseignez","SPIRAGO, François",,Éditions Apostolicum,1950,1950-01-01,1950-12-31,,Éd. canadienne,"23 cm: xxx, 635 p.",,Comprend une table alphabétique à la fin de l'ouvrage,Français,"Laprairie, QC",,,
00000732,Expositions d'aides audio-visuelles : à l'intention des personnes chargées de catéchèse,"PIGEON, L. P.|Comité catéchistique de l'École normale de l'Université d'Ottawa",,École normale de l'Université d'Ottawa,1966,1966-01-01,1966-12-31,,,28 cm: env. 166 p. en pag. multiples,,,Français,"Ottawa, ON",,,
00000733,Nouveau Testament,Société catholique de la Bible|Association catholique des études bibliques au Canada,,Fides,1959,1959-01-01,1959-12-31,,"2e éd., revue et corrigée","16 cm: 672 p., cartes",,Sur la p. de t. : 400e mille. -- Comprend des tables à la fin de l'ouvrage,Français,"Montréal, QC",,,
00000734,Gymnastique rythmique et danses de folklore : un cours d'éducation physique,"BARTLETT, Fred|ACKERMAN, Dorothy|MOORE, Marjorie|GRENIER, Cecile|DUMOULIN, Luce|MALCOM, Scott|GODDEN, Reginald=",,"Clarke, Irwin & Company Ltd.",1946,1946-01-01,1946-12-31,,,24 cm: 84 p.,,,Français,"Toronto, ON",Primaire,Primaire,
00000735,Gymnastique rythmique et danses de folklore : un cours d'éducation physique,"BARTLETT, Fred|ACKERMAN, Dorothy|MOORE, Marjorie|GRENIER, Cecile|DUMOULIN, Luce|MALCOM, Scott|GODDEN, Reginald=",,"Clarke, Irwin & Company Ltd.",1952,1952-01-01,1952-12-31,,,24 cm: 84 p.,,Sur la couv. : n'employer ce manuel qu'avec le nouvel album de disque 33 tours,Français,"Toronto, ON",Primaire,Primaire,
00000736,"Encore Paul, Jeanne et Lise","BARUCH, Dorothy|MONTGOMERY, Elizabeth|CAMPBELL, Eleanor",Santé,W. J. Gage & Co. Ltd.,[19--?],1899-12-31,1999-12-31,,,"20 cm: 128 p., ill. en coul.",,Sur le dos de l'ouvrage : A. -- Adap. de Good Times with Our Friends,Français,"Toronto, ON",Primaire,6 ans,
00000737,Une famille heureuse,"BARUCH, Dorothy|MONTGOMERY, Elizabeth|STORY HURFORD, Miriam",Santé,W. J. Gage & Co. Ltd.,[19--?],1899-12-31,1999-12-31,,,"20 cm: 191 p., ill. en coul.",,Sur le dos de l'ouvrage : C. -- Adap. de Five in the Family,Français,"Toronto, ON",Primaire,[Enfants de 6 ans],
00000738,Rhythms ans Dances : A Course in Physical Education,"BARTLETT, Fred|ACKERMAN, Dorothy|MOORE, Marjorie",,"Clarke, Irwin & Company Ltd.",1946,1946-01-01,1946-12-31,,,25 cm: 80 p.,,,Anglais,"Toronto, ON",,,
00000739,Physical Education for Primary Grades,"CAHTWIN, Nora",,The House of Grant Canada Ltd.,[1956?],1956-01-01,1956-12-31,,,"20 cm: 132 p., ill. en coul.",,Comprend un glossaire à la fin de l'ouvrage,Anglais,"Toronto, ON",Primaire,Primaire,
00000740,"Pour faire jouer nos petits : I. Jeux d'intérieur, II. Joujoux et jouets, III. Lili et Pierrot, IV. Jeux en plein air",,,Librairie Fernand Nathan,1931,1931-01-01,1931-12-31,,"5e éd., revue et corrigée","23 cm: 88 p., ill.",,,Anglais,"Paris, FR",Primaire,[Primaire],
00000741,Récréations et jeux,"FALIZE, Julien|SZOSTAK, Edmond",,Belgique.Ministère de l'Éducation nationale et de la Culture,1962,1962-01-01,1962-12-31,,2e éd.,"22 cm: env. 240 p. en pag. multiples, ill.",,Sur la couv. : Service national de la jeunesse. -- Comprend une bibliogr. au début de l'ouvrage,Français,"Bruxelles, BE",,,
00000742,Les Années de l'adolescence,"DE LÉAN, Pierre|MORAN, Connie|ERNST, Clara|TRAUGOTT, Felix|SHACTER, Helen|GARDNER JENKINS, Gladys|BAUER, W. W.",Santé,W. J. Gage & Co. Ltd.,[19--?],1899-12-31,1999-12-31,,,"21 cm: 360 p., ill. (certaines en coul.)",,Adap. de : Into Your Teens. -- Comprend un lexique et un index à la fin de l'ouvrage,Français,"Toronto, ON",,,
00000743,La Petite Voisine,"DE LÉAN, Pierre|STEED, Ruth|BARUCH, Dorothy|MONTGOMERY, Elizabeth|BAUER, W. W.",Santé,W. J. Gage & Co. Ltd.,[19--?],1899-12-31,1999-12-31,,,"21 cm: 256 p., ill. (certaines en coul.)",,Adap. de : The Girl Next Door. -- Comprend un index à la fin de l'ouvrage,Français,"Toronto, ON",,,
00000744,Vous grandissez,"DE LÉAN, Pierre|MORAN, Connie|ERNST, Clara|TRAUGOTT, Felix|SHACTER, Helen|GARDNER JENKINS, Gladys|BAUER, W. W.",Santé,W. J. Gage & Co. Ltd.,[19--?],1899-12-31,1999-12-31,,,"21 cm: 320 p., ill. (certaines en coul.)",,Adap. de : You're Growing Up. -- Comprend un lexique et un index à la fin de l'ouvrage,Français,"Toronto, ON",,,
00000745,Heures joyeuses,"MONTGOMERY, Elizabeth|BAUER, W. W.|STEED, Ruth",Santé,W. J. Gage & Co. Ltd.,[19--?],1899-12-31,1999-12-31,,,"20 cm: 95 p., ill. en coul.",,Adap. de : Happy Days with our friends. -- Sur le dos de l'ouvrage : P,Français,"Toronto, ON",,,
00000746,Les Trois Amis,"MONTGOMERY, Elizabeth|BARUCH, Dorothy|STEED, Ruth",Santé,W. J. Gage & Co. Ltd.,[19--?],1899-12-31,1999-12-31,,,"20 cm: 159 p., ill. en coul.",,Adap. de : Three Friends. -- Sur le dos de l'ouvrage : B,Français,"Toronto, ON",,,
00000747,"Manuel de bienséance : 1re, 2e et 3e années","GAGNIER, Jacques",L'Élève et le Maître,Fides,1957,1957-01-01,1957-12-31,,,"25 cm: 64 p., ill. en coul.",,,Français,"Montréal, QC",Primaire,1ère à 3e année,
00000748,Pour votre santé,"PÉPIN, Jean-Guy|HILDER, Charles|VINCENT, Rodolphe|BEAUGRAND-CHAMPAGNE, Louise",Santé et sécurité ; 6,Lidec inc.,[1968?],1968-01-01,1968-12-31,,,"23 cm: 212 p., ill. et graph. (certains en coul.)",,Comprend un index à la fin de l'ouvrage,Français,"Montréal, QC",,,
00000749,De bonnes habitudes 4,"DUFOUR, Yvan|PRIMEAU, Gilles|André l'archevêque|PÉPIN, Jean-Guy",Santé et sécurité ; 4,Lidec inc.,[1970?],1970-01-01,1970-12-31,,,"23 cm: 174 p., ill. en coul.",,Comprend un index à la fin de l'ouvrage,Français,"Montréal, QC",,,
00000750,Manuel de soins au foyer à l'usage des jeunes,La Croix-Rouge de la jeunesse,,La Société canadienne de la Croix-Rouge,1963,1963-01-01,1963-12-31,,,"22 cm: 205 p., ill. en coul.",,Comprend un lexique et un index à la fin de l'ouvrage,Français,"Toronto, ON",Intermédiaire|Secondaire,Adolescents,
00000751,Cultivons-nous,"FERDINAND, Jean",,Jean Ferdinand,1949,1949-01-01,1949-12-31,,2e éd.,25 cm: 142 p.,,,Français,"Ottawa, ON",,,
00000752,Renseignons-nous,"FERDINAND, Jean",,Jean Ferdinand,1950,1950-01-01,1950-12-31,,2e éd.,25 cm: 144 p.,,,Français,"Ottawa, ON",,,
00000753,"Santé, sécurité, succès","GILBERT, Jules",,Ginn and company,[19--?],1899-12-31,1999-12-31,,,21 cm: 272 p.,,Comprend un index à la fin de l'ouvrage,Français,"Toronto, ON",,,
00000754,Vous et les autres,"DE LÉAN, Pierre|PARKER, Guy|TRAUGOTT, Felix|ERNST, Clara|SHACTER, Helen|BAUER, W. W.",Santé ; 6,W. J. Gage & Co. Ltd.,[19--?],1899-12-31,1999-12-31,,,"21 cm: 288 p., ill. (certaines en coul.)",,Adap. de : You and Others. -- Comprend un lexique et un index à la fin de l'ouvrage,Français,"Toronto, ON",,,
00000755,Vous et votre santé,"DE LÉAN, Pierre",Santé,W. J. Gage & Co. Ltd.,[19--?],1899-12-31,1999-12-31,,,"21 cm: 297 p., ill. (certaines en coul.)",,"Adap. française des manuels de la séries, Health and Personal Development. -- Comprend un index à la fin de l'ouvrage",Français,"Toronto, ON",,,
00000756,Sciences naturelles 58-59 : 1re à 8e années,"LÉVESQUE, Denis",,Élèves de l'École normale,1959,1959-01-01,1959-12-31,,,"28 cm: env. 42 p., ill.",,,Français,,Primaire|Intermédiaire,1ère à 8e année,
00000757,Manuel de bienséances : 4e et 5e années,"PETITDIDIER, M.",,Fides,1957,1957-01-01,1957-12-31,1967-02-09,,"25 cm: 64 p., ill. en coul.",,,Français,"Montréal, QC",Primaire,4e et 5e année,
00000758,"Manuel d'hygiène, de bienséance, de civisme : pour les classes de 2e et 9e année",,,Librairie J.-A. Parent,1944,1944-01-01,1944-12-31,,,22 cm: 96 p.,,"Sur la couv. : 130e mille, ouvrage approuvé par le Comité catholique du Conseil de l'instruction publique",Français,"Montréal, QC",Primaire|Intermédiaire|Secondaire,2e à 9e année,
00000759,Au grand air 3,"ORVOINE, Robert|DELVAL, Yvonne|PÉPIN, Jean-Guy|DELISLE, Jacques",Santé et Sécurité ; 3,Lidec inc.,[1969?],1969-01-01,1969-12-31,,,"23 cm: 112 p., ill. en coul.",,,Français,"Montréal, QC",Primaire,[Primaire],
00000760,Initiation à l'hygiène,"PÉPIN, Jean-Guy|GRONDINES, Jacques|FROUNIER, Bernard",,Centre de psychologie et de pédagogie,1957,1957-01-01,1957-12-31,,,"21 cm: xxii, 359 p., ill., graph. et tableaux",,Comprend une bibliogr. et un lexique à la fin de l'ouvrage,Français,"Montréal, QC",,,
00000761,Vous grandissez 5,"PÉPIN, Jean-Guy|PLANTE, Jacques|ROGER, Yvonne|L'Archevêque André",Santé et Sécurité ; 5,Lidec inc.,[1970?],1970-01-01,1970-12-31,,,"24 cm: 203 p., ill. en coul.",,Comprend un index à la fin de l'ouvrage,Français,"Montréal, QC",Primaire|Intermédiaire,10 et 11 ans,
00000762,Une bonne journée 2,"ROGER, Yvonne|PÉPIN, Jean-Guy|ROY, Raymond|",Santé et Sécurité ; 2,Lidec inc.,[1968?],1968-01-01,1968-12-31,,,"23 cm: 80 p., ill. en coul.",,,Français,"Montréal, QC",,,
00000763,Éléments de puériculture,"BURR, Dorothy G.|FOREST, Françoise",,McGraw-Hill,[1972?],1972-01-01,1972-12-31,,,"24 cm: 162 p., ill.",,Comprend un index à la fin de l'ouvrage. -- ISBN 0-07-092986-6,Français,"Montréal, QC",,,
00000764,"La Formation de la personnalité : l'adolescence, hygiène, le vieillissement","HANDLER, Joseph|SAURET, André |LÉVY, Raymond|KNAPP, Peter|VERDOUX, Jacques|D'ADLER, Marie-Ange",Le Livre de la santé ; 13,Rencontre,[1968?],1968-01-01,1968-12-31,,,"27 cm: 157 p., ill. (certaines en coul.)",,Comprend un glossaire à la fin de l'ouvrage,Français,"Monte Carlo, FR",,,
00000765,Ton livre de santé,"PÉPIN, Jean-Guy|D'AMOUR, Gabrielle|HILDER, Charles|FUMET-VINCENT, Odette|VINCENT, Rodolphe|BEAUGRAND-CHAMPAGNE, Louise",Santé et Sécurité ; 1,Lidec inc.,1967,1967-01-01,1967-12-31,,,"23 cm: 71 p., ill. en coul.",,,Français,"Montréal, QC",,,
00000766,Ton livre de santé,"PÉPIN, Jean-Guy|D'AMOUR, Gabrielle|HILDER, Charles|FUMET-VINCENT, Odette|VINCENT, Rodolphe|BEAUGRAND-CHAMPAGNE, Louise",Santé et Sécurité ; 1,Lidec inc.,1971,1971-01-01,1971-12-31,,2e éd.,"23 cm: 71 p., ill. en coul.",,,Français,"Montréal, QC",,,
00000767,La langue parlée : travaux du XIè congrès de l'Association canadienne des éducateurs de langue française sur le français parlé au Canada,"Association canadienne des éducateurs de langue française|VINETTE, Roland",,Éditions l'ACELF; Centre de psychologie et de pédagogie,1958,1958-01-01,1958-12-31,,,24 cm: 193 p.,,,Français,"Montréal, QC",,,
00000768,Le parler français : travaux du XIIIe congrès de l'Association canadienne des éducateurs de langue française,"Association canadienne des éducateurs de langue française|VINETTE, Roland",,Éditions l'ACELF; Centre de psychologie et de pédagogie,1960,1960-01-01,1960-12-31,,,24 cm: 197 p.,,,Français,"Montréal, QC",,,
00000769,"Le français parlé au cours secondaire : lecture, vocabulaire, correction, grammaire : leçon 1 à 15","BOULET, Gilles|GAGNÉ, Lucien",,Les Presses de l'Université Laval,1962,1962-01-01,1962-12-31,,,"22 cm: 228 p., ill.",,Sur la p. de t. : éléments latins - 8e année,Français,Québec,Intermédiaire,8e année,
00000770,Phonétique appliquée,"CLAS, André|DEMERS, Jeanne|CHARBONNEAU, René",,Librairie Beauchemin limitée,1968,1968-01-01,1968-12-31,,,"23 cm: xv, 265 p., ill., graph. et tableaux",,"Comprend une bibliogr., des tableaux et des index à la fin de l'ouvrage",Français,"Montréal, QC",,,
00000771,L'Orthographe méthodique : cours élémentaire 1re année,"DENÈVE, Pierre",L'Orthographe méthodique ; 1,Fernand Nathan,1964,1964-01-01,1964-12-31,,,"21 cm: 63 p., quelques ill.",,,Français,"Paris, FR",Système français,"1ère année, primaire (France)",
00000772,C.A.F.É. : cours autodidactique de français écrit : cahier 1,"DUPRIEZ, Bernard",,s.n.,[1976?],1976-01-01,1976-12-31,,,35 cm: 169 p.,,"Sur la p. de t. : FRA 1951F Langue écrite, enseignement sur mesure. -- Comprend une bibliogr. au début de l'ouvrage",Français,"Ottawa, ON",,,
00000773,Grammaire française expliquée : tome 2,"GAITSKELL, C. D.GALICHET, G.|GALICHET, R.|GAUTHIER, Robert|GAUTHIER, Gilles",Grammaires expliquées Galichet,H.M.H.,[1968?],1968-01-01,1968-12-31,,,"22 cm: 251 p., quelques ill. et tableaux",,Comprend un index à la fin de l'ouvrage,Français,"Montréal, QC",Secondaire,Secondaire 1 et 2,
00000774,Grammaire française expliquée : tome 3,"GAITSKELL, C. D.GALICHET, G.|GALICHET, R.|GAUTHIER, Robert|GAUTHIER, Gilles",Grammaires expliquées Galichet,H.M.H.,[1969?],1969-01-01,1969-12-31,,,"22 cm: 297 p., quelques ill. et tableaux",,Comprend un lexique à la fin de l'ouvrage,Français,"Montréal, QC",Secondaire,Secondaire 2 et 3,
00000775,"De la langue parlée à la langue écrite : exercices structuraux : livre 1, élèves","GENOUVRIER, Emile|POULIN, Daniel",Les Structures de la langue française,Éd. française inc.,[1974?],1974-01-01,1974-12-31,,,28 cm: 92 p.,,,Français,Québec,Primaire,3e et 4 année,
00000776,"Beaux Livres, belles lectures","HUSSON, Julien|TORESSE, Bernard",,Librairie Larousse,[1963?],1963-01-01,1963-12-31,,,"22 cm: 335 p., ill.",,"Sur la p. de t. : recherches et travaux dirigés, classes de transitions",Français,"Paris, FR",Intermédiaire|Secondaire,11 à 14 ans,
00000777,J'apprend le français au fil des jours,"SOULIÈRE, A.|SOULIÈRE, N.|LEBLANC, Gérald",J'apprend le français au fil des jours ; 2,Hurtubise HMH ltée.,[1979?],1979-01-01,1979-12-31,,,"22 cm: 248 p., ill. en coul.",,Sur la couv. : 5e année. -- ISBN 2-89045-185-2,Français,"La Salle, QC",Primaire,5e année,
00000778,J'apprend le français au fil des jours,"SOULIÈRE, A.|SOULIÈRE, N.",J'apprend le français au fil des jours ; 3,Hurtubise HMH ltée.,[1979?],1979-01-01,1979-12-31,,,"22 cm: 252 p., ill. en coul.",,Sur la couv. : 6. -- ISBN 2-89045-186-0,Français,"La Salle, QC",Primaire,6e année,
00000779,No-1 Phonétique appliquée [enregistrement sonore],"UGUAY, Huguette|LÉTOURNEAU, Jacques",,L'École et l'Étudiant,[1967?],1967-01-01,1967-12-31,,,"18 cm: 1 disque sonore, analogique, 45, stéréo",,"Textes extraits de la revue : L'école, septembre 1967, p. de Phonétique appliquée. -- Disque dans un carton. -- Sommaire : Face A, Principaux allophones du franco-canadien. -- Face B, Exercices pratiques d'application. -- MG-6184",Français,"La Prairie, QC",,,
00000780,Exercices orthographiques : livre du maître,F. P. B.|Frères des écoles chrétiennes,Ouvrages classiques,Alfred Mame et Fils,1899,1899-01-01,1899-12-31,,Nouv. éd.,"18 cm: xii, 636 p.",,,Français,"Tours, FR",Système français,2e et 3e année (France),
00000781,"Le français parle au cours secondaire : phonétique, lecture, vocabulaire : guide du professeur","BOULET, Gilles|GAGNÉ, Lucien|GENDRON, Jean-Denis",,Les Presses de l'Université Laval,1963,1963-01-01,1963-12-31,,,28 cm: 101 p.,,,Français,Québec,Secondaire,9e année,
00000782,Français 1,"BRECKX, M.|CHERDON, C.|MAYENCE, J.",La Classe de langue française,A. de Boeck,[1978?],1978-01-01,1978-12-31,,2e éd.,"22 cm: 251 p., ill. et tableaux",,Comprend un index et un lexique à la fin de l'ouvrage,Français,"Bruxelles, BE",Secondaire,Secondaire 1,
00000783,"La Prononciation française et la Diction : à l'usage des écoles, des gens du monde et des étrangers","CAUVET, Alfred",,Librairie Ollendorff,[19--?],1899-12-31,1999-12-31,,18e éd.,19 cm: 116 p.,,,Français,"Paris, FR",,,
00000784,"Méthode d'élocution et de déclamation : à l'usage des collèges, pensionnats et autres établissement d'instruction publique : I. cours élémentaire","COLONNIER, P.",,Librairie Beauchemin limitée,[19--?],1899-12-31,1999-12-31,1902-09-10,3e éd.,19 cm: 127 p.,,Sur la couv. : collection de morcaux choisis classés suivant un ordre raisonné et accompagnés de signes phonétiques ayant pour but d'en rendre la récitation plus facile,Français,"Montréal, QC",Universitaire et Collégial,Collèges; pensionnats; autres établissement d'instruction publique,
00000785,"Phonetique orthophonique à l'usage des canadiens français : orthophonie, exercices de correction, textes de lecture","GENDRON, Jean-Denis",,Les Presses de l'Université Laval,[19--?],1899-12-31,1999-12-31,,,"28 cm: 266 p., ill.",,,Français,Québec,,,
00000786,Zizags autour de nos parlers : simples notes,"GEOFFRION, Louis Philippe",,Louis Philippe Geoffrion,1925,1925-01-01,1925-12-31,,2e éd.,18 cm: 222 p.,,Comprend une table alphabétique à la fin de l'ouvrage,Français,Québec,,,
00000787,IV Le plan : méthode conjuguée d'explication de textes et de composition française,"GESLIN, L.","Méthode de composition française, progressive et complète ; IV",J. de Gigord,1955,1955-01-01,1955-12-31,,6e éd.,"21 cm: 370 p., ill.",,Comprend un index à la fin de l'ouvrage,Français,"Paris, FR",Système français,3e et 4e année (France),
00000788,Cours de français de lectures graduées,"MAGNAN, J.-Roch",,Librairie Beauchemin limitée,1902,1902-01-01,1902-12-31,,,"18 cm: xii, 770 p., ill.",,,Français,"Montréal, QC",Système français,Degré supérieur,
